Nombre,Estado Web,Web o Red Actual,Teléfono,Link WhatsApp,Categoría,Rating,Total Reseñas,Dirección,Google Maps URL
Salon Peumayen Eventos,SIN_WEB,Ninguna,+54 264 404-0316,https://wa.me/5492644040316,Salón para eventos,4.7,357,"Pocito, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Salon%20Peumayen%20Eventos&query_place_id=ChIJE_5ft-Q-gZYRHUaFroEA5Hw
Salón Viñas,SIN_WEB,Ninguna,+54 264 569-1500,https://wa.me/5492645691500,Salón para eventos,4.2,29,"J5402DEF, Rivadavia Este 254, J5402DEF San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20Vi%C3%B1as&query_place_id=ChIJpw1z3IJqgZYRsURPvWw4vq8
El Castillo Eventos,SOLO_RED_SOCIAL,https://www.instagram.com/el.castilloeventos?igsh=NW9vbHhtYXBzeXFw,+54 264 411-0459,https://wa.me/5492644110459,Salón para eventos,4.7,97,"Salta Nte. 1795, J5400 San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=El%20Castillo%20Eventos&query_place_id=ChIJy5YxFtNBgZYRWyGQlbaLn_g
ESPACIO PARA EVENTOS LA JOSEFINA,SIN_WEB,Ninguna,+54 264 582-4713,https://wa.me/5492645824713,Recinto para eventos,4.5,129,"Jachal, Río Negro Oeste 1675, J5413 Chimbas, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=ESPACIO%20PARA%20EVENTOS%20LA%20JOSEFINA&query_place_id=ChIJtS45-sFBgZYRr5mVpcHrUT4
Renacer Eventos,SOLO_RED_SOCIAL,https://www.instagram.com/renacer.eventos.pj?igsh=MzBwdmVzbW5oaXcx&utm_source=qr,+54 264 622-5743,https://wa.me/5492646225743,Salón para eventos,4.7,19,"C. Bonduel N 767, Chimbas, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Renacer%20Eventos&query_place_id=ChIJl7kxQABBgZYR1CXB4Fb3L0s
Palmares Salón de Eventos,SIN_WEB,Ninguna,+54 9 264 446-7560,https://wa.me/5492644467560,Salón para eventos,4.6,465,"Centenario Oeste 837, J5413 Chimbas, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Palmares%20Sal%C3%B3n%20de%20Eventos&query_place_id=ChIJIf6Q2oFBgZYR5kRAbRHwRAs
Posta Chacrita salon de eventos,SIN_WEB,Ninguna,+54 264 447-8371,https://wa.me/5492644478371,Salón para eventos,4.7,139,"RN20 Km 11, de, J5417 Nueve de Julio, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Posta%20Chacrita%20salon%20de%20eventos&query_place_id=ChIJBe8jy-gTgZYRxs0URnHcIHI
Finca El Oasis,SIN_WEB,Ninguna,+54 264 418-3410,https://wa.me/5492644183410,Salón para eventos,4.6,22,"Pampa del Chañar, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Finca%20El%20Oasis&query_place_id=ChIJsfRrmJVDg5YRx1r_KlpQXwM
Salon de eventos,SIN_WEB,Ninguna,No disponible,,Urbanización,5,1,"Juan Jufré, J5419, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Salon%20de%20eventos&query_place_id=ChIJOeE6EABpgZYRW9NA1FvIxGs
Le Parc Eventos,SIN_WEB,Ninguna,+54 264 583-6491,https://wa.me/5492645836491,Salón para eventos,4.4,182,"Mendoza Sur 2043, J5402 San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Le%20Parc%20Eventos&query_place_id=ChIJ330e7qdqgZYRLlTbbw_Ajyo
Puerto Madero Eventos,SIN_WEB,Ninguna,+54 264 662-6166,https://wa.me/5492646626166,Recinto para eventos,4.7,141,"J5425 Rawson, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Puerto%20Madero%20Eventos&query_place_id=ChIJU8onxVwVgZYRkUw7fPQ8VLw
Parque Mágico salón de eventos,SIN_WEB,Ninguna,+54 264 627-2636,https://wa.me/5492646272636,Salón para eventos,4.9,191,"Ramón Franco 650, J5411 Santa Lucía, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Parque%20M%C3%A1gico%20sal%C3%B3n%20de%20eventos&query_place_id=ChIJu1Rsa9FrgZYRroKlEFCkb0o
Salón El Prado,SIN_WEB,Ninguna,+54 264 413-7277,https://wa.me/5492644137277,Salón para eventos,4.4,677,"Agustín Gómez, San Juan, Argentina",https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20El%20Prado&query_place_id=ChIJh2wi-QEVgZYRXwCXl6wa0qU
