nombre,categoria,telefono,enlace_whatsapp,tipo_oportunidad,web_actual,ciudad,direccion,calificacion,total_resenas,maps_url
La Casona eventos,Salón para eventos,+54 264 580-2706,https://wa.me/5492645802706,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/lacasonaSE,Rawson,"Calle Nacional, Tascheret y, J5421 Rawson, San Juan, Argentina",4.3,310,https://www.google.com/maps/search/?api=1&query=La%20Casona%20eventos&query_place_id=ChIJjwAHfXAVgZYRNbaImWbWPDk
Las Pircas Triásico Restaurante,Restaurante,+54 264 467-3317,https://wa.me/5492644673317,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/laspircas_vallefertil?igsh=cHU2bjkwdGgydXM0,Villa San Agustín,"Tucuman 1132, J5449 Villa San Agustín, San Juan, Argentina",3.8,283,https://www.google.com/maps/search/?api=1&query=Las%20Pircas%20Tri%C3%A1sico%20Restaurante&query_place_id=ChIJk9FxhHx0gpYR4I7VoMYF-4E
Mafalda - Casa de Campo,Organizador de eventos,+54 264 419-5099,https://wa.me/5492644195099,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/MafaldaCasaDeCampo/,Albardón,"D. F. Sarmiento 186, J5419 Albardón, San Juan, Argentina",4.7,275,https://www.google.com/maps/search/?api=1&query=Mafalda%20-%20Casa%20de%20Campo&query_place_id=ChIJ8eZ0irNpgZYRVkBEEbcleic
Las Valkirias Eventos,Salón para eventos,+54 9 264 475-7115,https://wa.me/5492644757115,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/LasValkiriasEventos/?ref=br_rs,O) Rivadavia,"Av. José Ignacio de la Roza Oeste 1431, J5400 O) Rivadavia, San Juan, Argentina",4.6,260,https://www.google.com/maps/search/?api=1&query=Las%20Valkirias%20Eventos&query_place_id=ChIJwfOnR_1AgZYRPPTJT8TAVz0
Casa Manuel Restaurante,Restaurante,+54 9 264 580-3040,https://wa.me/5492645803040,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/casamanuelsanjuan,Santa Lucía,"sur Avenida Argentina esquina Sarmiento, J5400 Santa Lucía, San Juan, Argentina",4.7,259,https://www.google.com/maps/search/?api=1&query=Casa%20Manuel%20Restaurante&query_place_id=ChIJfYDqOtNrgZYRJHKq4WkyArk
La Jamonada Española,Restaurante,+54 264 662-2935,https://wa.me/5492646622935,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/La-jamonada-Espa%C3%B1ola-597555767084838/,E,"D. F. Sarmiento 120, J5419 E, San Juan, Argentina",4.5,250,https://www.google.com/maps/search/?api=1&query=La%20Jamonada%20Espa%C3%B1ola&query_place_id=ChIJZRZpcbRpgZYRH2RzablWfsU
San Patry - Gruas y Servicios San Juan,Servicio de grúa,+54 264 472-7591,https://wa.me/5492644727591,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/GruasSanPatry/,San Juan,"Barrio Bardiani Mbk15, PB dpto C, J5400 San Juan, Argentina",4.9,234,https://www.google.com/maps/search/?api=1&query=San%20Patry%20-%20Gruas%20y%20Servicios%20San%20Juan&query_place_id=ChIJj_dauENrgZYRhVIDriBfm3Y
Salón El Angelito,Salón para eventos,+54 264 414-0258,https://wa.me/5492644140258,Usa facebook.com como web (Oportunidad Alta),http://www.facebook.com/salonelangelito,Rivadavia,"&, López Sur, Marchesi &, Rivadavia, San Juan, Argentina",4.1,205,https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20El%20Angelito&query_place_id=ChIJ41r2f2dAgZYRpMo9XT-MEfo
Kartodromo La Pista Kart,Circuito de karts,+54 264 475-8143,https://wa.me/5492644758143,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/lapistakart/,Argentina,"Ruta 40 entre calle 9 y 10 por callejón contegran a mano izq, Argentina, San Juan, Argentina",4.4,184,https://www.google.com/maps/search/?api=1&query=Kartodromo%20La%20Pista%20Kart&query_place_id=ChIJsbZOvRo-gZYRUw2YhuO9b9g
Doña Benita,Restaurante,+54 264 444-0386,https://wa.me/5492644440386,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/donabenita.lomoteca,San Juan,"1515, Av. Guillermo Rawson Norte, San Juan, Tucumán, Argentina",4.2,146,https://www.google.com/maps/search/?api=1&query=Do%C3%B1a%20Benita&query_place_id=ChIJFamMpH1qgZYRVdxwLlzaWhA
Clínica Alvear Especialidades para el Adulto & Estetica,Clínica ambulatoria,+54 264 426-6818,https://wa.me/5492644266818,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/share/15u6pw1K1U/?mibextid=wwXIfr,San Juan,"(N),J5400GJA, Matías Zavalla Norte 61 norte, Matías Zavalla Nte. 71, J5400GJA San Juan, Argentina",2.6,143,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Alvear%20Especialidades%20para%20el%20Adulto%20%26%20Estetica&query_place_id=ChIJbYMbtEpAgZYR5GlQcmlaDjA
HE Eventos,Salón de bodas,+54 264 514-2091,https://wa.me/5492645142091,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/he_salondeeventos?utm_medium=copy_link,Villa Krause,"Calle Vidart S 3866, (Pasando, Dr. Ortega, J5425 Villa Krause, San Juan, Argentina",4.8,125,https://www.google.com/maps/search/?api=1&query=HE%20Eventos&query_place_id=ChIJacvMY_NBgZYR5K6-G5RJKYY
PAZaTIEMPO,Restaurante,+54 264 562-7494,https://wa.me/5492645627494,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/pazatiempoalbardon/,Villa Gral. San Martin,"Libertad Norte 237, J5419 Villa Gral. San Martin, San Juan, Argentina",4.8,121,https://www.google.com/maps/search/?api=1&query=PAZaTIEMPO&query_place_id=ChIJBWAgkmJpgZYRMmgEs2h1eS8
Enfants Pediatria y Especialidades,Médico,+54 264 585-8951,https://wa.me/5492645858951,Usa facebook.com como web (Oportunidad Alta),http://www.facebook.com/enfants.pediatriaespecialidades,San Juan,"Catamarca Sur 52, J5400AHJ San Juan, Argentina",3.2,121,https://www.google.com/maps/search/?api=1&query=Enfants%20Pediatria%20y%20Especialidades&query_place_id=ChIJTTCrlaFBgZYRqzege5Ke1lc
HC Café,Cafetería,+54 264 571-0889,https://wa.me/5492645710889,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/hccafe_/,San Juan,"Av. José Ignacio de la Roza Este 716 Este, J5400 San Juan, Argentina",4.6,117,https://www.google.com/maps/search/?api=1&query=HC%20Caf%C3%A9&query_place_id=ChIJ4akpiOhrgZYR7A1lRBYQinQ
NYNA Nails San Juan,Salón de manicura y pedicura,+54 9 264 483-7408,https://wa.me/5492644837408,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/nynanails,San Juan,"Toranzo 180, J5400 San Juan, Argentina",4.6,110,https://www.google.com/maps/search/?api=1&query=NYNA%20Nails%20San%20Juan&query_place_id=ChIJj9tMeDVAgZYRpsqKvRr0obs
Psicólogo Alberto A. Mentesana,Psicólogo,+54 264 477-6613,https://wa.me/5492644776613,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/lic.albertomentesana.ok?igsh=ODgyZmVyb3NpeTFm,San Juan,"General Paz 3000, J5400 San Juan, Argentina",5,105,https://www.google.com/maps/search/?api=1&query=Psic%C3%B3logo%20Alberto%20A.%20Mentesana&query_place_id=ChIJbScIX51BgZYRXVUvC7F_cRA
El Castillo Eventos,Salón para eventos,+54 264 411-0459,https://wa.me/5492644110459,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/el.castilloeventos?igsh=NW9vbHhtYXBzeXFw,San Juan,"Salta Nte. 1795, J5400 San Juan, Argentina",4.7,97,https://www.google.com/maps/search/?api=1&query=El%20Castillo%20Eventos&query_place_id=ChIJy5YxFtNBgZYRWyGQlbaLn_g
Finca Los Almendros,Casa rural,+54 264 567-0964,https://wa.me/5492645670964,Usa facebook.com como web (Oportunidad Alta),https://m.facebook.com/profile.php?id=100023767184917&ref=content_filter,San Juan,"Calle 9, Cervantes y, J5427, San Juan, Argentina",4.4,94,https://www.google.com/maps/search/?api=1&query=Finca%20Los%20Almendros&query_place_id=ChIJC9umAwk_gZYRLpu87F1qrxM
Cuper SRL,Taller de automóviles,+54 264 425-1188,https://wa.me/5492644251188,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/cupersrl?igsh=MWdqd2M2aWpsb2V4NA==,Santa Lucía,"Hipólito Yrigoyen Este 1511, J5402 Santa Lucía, San Juan, Argentina",4.6,77,https://www.google.com/maps/search/?api=1&query=Cuper%20SRL&query_place_id=ChIJdfnCiRNrgZYRSF7yawAgDJk
Clínica IMO QUALITY,Clínica especializada,+54 264 427-7265,https://wa.me/5492644277265,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/imoquality.medicina/,San Juan,"9 de Julio 153 este, J5402AMC San Juan, Argentina",2.9,71,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20IMO%20QUALITY&query_place_id=ChIJ0Utx3p1qgZYRhVgS9H9rbrI
Sol de las Sierras - Casa de Campo,Casa rural,+54 264 670-8258,https://wa.me/5492646708258,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/soldelassierraszonda/,Zonda,"Las Moras y San Martín Barrio Valle de Velazquez casa 6, J5401 Zonda, San Juan, Argentina",4.5,63,https://www.google.com/maps/search/?api=1&query=Sol%20de%20las%20Sierras%20-%20Casa%20de%20Campo&query_place_id=ChIJ_bmBSwlHgZYRDAiYhJtEGRQ
Mesa Uno Restaurant,Restaurante,+54 264 481-8287,https://wa.me/5492644818287,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/mesa1uno?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,San Juan,"B. Mitre 494 (o, J5400 San Juan, Argentina",4.9,59,https://www.google.com/maps/search/?api=1&query=Mesa%20Uno%20Restaurant&query_place_id=ChIJOzezBhpBgZYRN3CaVDIVT1g
Constanza Esculpidas,Salón de manicura y pedicura,+54 264 584-8654,https://wa.me/5492645848654,Usa instagram.com como web (Oportunidad Alta),http://www.instagram.com/Constanzaesculpidas,San Juan,"Avenida Ignacio de la Roza oeste 431, J5400 San Juan, Argentina",4.7,56,https://www.google.com/maps/search/?api=1&query=Constanza%20Esculpidas&query_place_id=ChIJuWeldDBrgZYR8qfLtiKnVdY
Alba Eventos,Salón para eventos,+54 264 410-4593,https://wa.me/5492644104593,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/Alba-Eventos-110404331437859/,Chimbas,"5413, Chimbas, San Juan, Argentina",4.6,54,https://www.google.com/maps/search/?api=1&query=Alba%20Eventos&query_place_id=ChIJQRTfcRFBgZYRwE4QBGlEHTA
Salon de eventos MarDan,Lounge,+54 264 567-1750,https://wa.me/5492645671750,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/mardansaloneventos?igshid=ZDdkNTZiNTM=,San Juan,"Aconcagua y nicolas avellaneda santa lucia, 5411 San Juan, Argentina",4.8,37,https://www.google.com/maps/search/?api=1&query=Salon%20de%20eventos%20MarDan&query_place_id=ChIJz4zErndrgZYRvCUToFayF90
Dra. Veronica Godoy,Dermatólogo,+54 264 630-2079,https://wa.me/5492646302079,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/draverogodoy/,San Juan,,4.7,36,https://www.google.com/maps/search/?api=1&query=Dra.%20Veronica%20Godoy&query_place_id=ChIJqdXQLLJBgZYR9tBwFvLIWXc
Eunoia Nail Spa,Centro de estética,+54 264 318-0627,https://wa.me/5492643180627,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/eunoianailspa/,San Juan,"Santiago del Estero Sur 1005, J5400 San Juan, Argentina",4.6,33,https://www.google.com/maps/search/?api=1&query=Eunoia%20Nail%20Spa&query_place_id=ChIJy1bVYQBBgZYRIY8rpZScg0Q
RUN PROTEIN BAR by Punto Healthy,Restaurante de comida rápida,+54 264 679-5628,https://wa.me/5492646795628,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/run.proteinbar?igsh=MWhuemFxZG1tMzdwMQ==,San Juan,"C. Domingo Faustino Sarmiento 270 sur, J5400 San Juan, Argentina",5,30,https://www.google.com/maps/search/?api=1&query=RUN%20PROTEIN%20BAR%20by%20Punto%20Healthy&query_place_id=ChIJ_31FKwdBgZYRZ9-0Y8i8e9Q
Caem dermatología + estética,Dermatólogo,+54 264 439-0638,https://wa.me/5492644390638,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/caem.sj/,San Juan,"Urquiza Sur 412 Ofi 9, J5400 San Juan, Argentina",5,30,https://www.google.com/maps/search/?api=1&query=Caem%20dermatolog%C3%ADa%20%2B%20est%C3%A9tica&query_place_id=ChIJV3bOCu9BgZYRzNNZQxz_WHY
Al Quincho complejo bahia,Salón recreativo,+54 264 547-3219,https://wa.me/5492645473219,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/elquincho2024?igsh=MWxsenZmMDJ2YzIxOQ==,Caucete,"J5442 Caucete, San Juan, Argentina",4.5,29,https://www.google.com/maps/search/?api=1&query=Al%20Quincho%20complejo%20bahia&query_place_id=ChIJMa6AO9wPgZYRzfYMv9zbT8c
Psicólogo Sebastián Arce,Psicólogo,+54 264 550-0183,https://wa.me/5492645500183,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/proyectarsearg/,San Juan,"Av. Córdoba Este 290, J5400 San Juan, Argentina",4.8,27,https://www.google.com/maps/search/?api=1&query=Psic%C3%B3logo%20Sebasti%C3%A1n%20Arce&query_place_id=ChIJcevXnnlBgZYRJxd1FuEpMzY
PSICOLOGIA SAN JUAN Lic. Vanina Valverde Ortiz,Psicólogo,+54 264 446-6243,https://wa.me/5492644466243,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/lic.vaninavalverdeortiz?igsh=MW1jb2hmazBnMGZxNg==,San Juan,"Mendoza Sur 666 SUR 1° piso, dpto. E, J5402GUN San Juan, Argentina",5,25,https://www.google.com/maps/search/?api=1&query=PSICOLOGIA%20SAN%20JUAN%20Lic.%20Vanina%20Valverde%20Ortiz&query_place_id=ChIJ2RL8C81rgZYR9G7OWG59Bm0
Bodega Putruele - Restaurante,Restaurante,+54 9 264 671-1729,https://wa.me/5492646711729,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/bodegaputruele/,San Martín,"San Martín, San Juan, Argentina",4.8,19,https://www.google.com/maps/search/?api=1&query=Bodega%20Putruele%20-%20Restaurante&query_place_id=ChIJx4GnAgBrgZYRS2LF04vcLt0
Renacer Eventos,Salón para eventos,+54 264 622-5743,https://wa.me/5492646225743,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/renacer.eventos.pj?igsh=MzBwdmVzbW5oaXcx&utm_source=qr,Chimbas,"C. Bonduel N 767, Chimbas, San Juan, Argentina",4.7,19,https://www.google.com/maps/search/?api=1&query=Renacer%20Eventos&query_place_id=ChIJl7kxQABBgZYR1CXB4Fb3L0s
SALON Y ORGANIZACION DE EVENTOS PEUMAYEN,Organizador de eventos,+54 264 404-0316,https://wa.me/5492644040316,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/Sal%C3%B3n-Peumayen-871409899724693/,Villa Krause,"C. Vidart S 2401, J5425 Villa Krause, San Juan, Argentina",4.6,18,https://www.google.com/maps/search/?api=1&query=SALON%20Y%20ORGANIZACION%20DE%20EVENTOS%20PEUMAYEN&query_place_id=ChIJIVOtlQZBgZYR1u1ozC0K4YM
"ZAAT Construcciones, Arquitectura, Agrimensura, SIG",Estudio de arquitectura,+54 264 414-5661,https://wa.me/5492644145661,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/zaat.sj/,San Juan,"C. Miguel Soler Sur 1163, J5400 San Juan, Argentina",5,16,https://www.google.com/maps/search/?api=1&query=ZAAT%20Construcciones%2C%20Arquitectura%2C%20Agrimensura%2C%20SIG&query_place_id=ChIJvYgYz9pBgZYRrvqOde-Jk3g
LuMax Nails,Centro de estética,+54 264 510-3008,https://wa.me/5492645103008,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/lu.max.9003,Caucete,"Av. M. de los Ríos, J5442 Caucete, San Juan, Argentina",4.9,15,https://www.google.com/maps/search/?api=1&query=LuMax%20Nails&query_place_id=ChIJ94bQBpUPgZYRs-yFELgFPT0
Abogada Campos Yamila,Servicios legales,+54 264 472-8950,https://wa.me/5492644728950,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/abogadacamposyamila?igsh=MTJvbmY1NnlqYzEzbQ==,San Juan,"Edificio Catamarán, Aberastain 137 sur 3° piso, oficina A, J5400 San Juan, Argentina",5,12,https://www.google.com/maps/search/?api=1&query=Abogada%20Campos%20Yamila&query_place_id=ChIJjR6MbChrgZYR33aDAX8Gavo
Pivot kinesiologia,Fisioterapeuta,+54 9 266 475-2590,https://wa.me/5492664752590,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/pivot.kine?igsh=MTV5Y3NkYnN3YjBhZg==,J5402APA,"Av. Leandro N. Alem Sur 795 Sur, J5402APA J5402APA, San Juan, Argentina",5,12,https://www.google.com/maps/search/?api=1&query=Pivot%20kinesiologia&query_place_id=ChIJcbpOSABrgZYRDnoOkMB9RTk
Estudio Jurídico Julieta Campillay,Abogado,+54 4219506,https://wa.me/544219506,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/abogadajulietacampillay/,CBF,"San Lorenzo Este 260, J5400 CBF, San Juan, Argentina",4.7,12,https://www.google.com/maps/search/?api=1&query=Estudio%20Jur%C3%ADdico%20Julieta%20Campillay&query_place_id=ChIJVZavjExrgZYRSM8KeT-xIBc
BABSIA LUNCH,Centro comercial,+54 264 528-6278,https://wa.me/5492645286278,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/Babsia-Lunch-573343263119645/,San Juan,"Gral. Mariano Acha Nte. 780, J5400 San Juan, Argentina",4.4,12,https://www.google.com/maps/search/?api=1&query=BABSIA%20LUNCH&query_place_id=ChIJtXhGcdVBgZYRizqJJbjX5tU
Clínica María Auxiliadora,Psicólogo,+54 264 661-1513,https://wa.me/5492646611513,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/clinica.maria.auxiliadora.sj?igshid=YTM0ZjI4ZDI=,Rawson,"Mendoza Sur 3728 Sur, J5425 Rawson, San Juan, Argentina",4.8,9,https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20Mar%C3%ADa%20Auxiliadora&query_place_id=ChIJQ8E6EkA_gZYRqw7kuQnJKyE
Dieta Club Cormillot,Nutricionista,+54 264 427-8667,https://wa.me/5492644278667,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/dietasanjuanoficial,AEO,"Av. Córdoba Oeste 142, J5402 AEO, San Juan, Argentina",4.3,9,https://www.google.com/maps/search/?api=1&query=Dieta%20Club%20Cormillot&query_place_id=ChIJMw6gsidAgZYRZejWo9g87Wc
Omada Quirurgico,Cirujano plástico,+54 264 423-1240,https://wa.me/5492644231240,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/OmadaSJ,San Juan,"i d la roza 2350 Oeste, J5400 San Juan, Argentina",3.7,6,https://www.google.com/maps/search/?api=1&query=Omada%20Quirurgico&query_place_id=ChIJpwJ8mk5AgZYRd1S2N5wEQ4o
Lelu Nails,Centro de estética,+54 264 555-0612,https://wa.me/5492645550612,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/lelunails.sj?igshid=MzNlNGNkZWQ4Mg==,San Juan,"25 de Mayo Este 222 este, J5400 San Juan, Argentina",5,6,https://www.google.com/maps/search/?api=1&query=Lelu%20Nails&query_place_id=ChIJTweZYRRrgZYRrE9VkH07rYU
PNT carteleria,Diseñador gráfico,+54 264 472-7146,https://wa.me/5492644727146,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/pntcarteleria?igsh=Z3AwdWU1ZzY1d202,San Juan,"Lateral Oeste de Avenida Circunvalación, J5402 San Juan, Argentina",5,5,https://www.google.com/maps/search/?api=1&query=PNT%20carteleria&query_place_id=ChIJXxxeJwBBgZYR4lZzF1VaVJM
Erilu Nails,Salón de manicura y pedicura,+54 264 624-4390,https://wa.me/5492646244390,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/Erilu.nails,San Juan,"J5400 San Juan, Argentina",5,5,https://www.google.com/maps/search/?api=1&query=Erilu%20Nails&query_place_id=ChIJD9ak-qJrgZYRttOWqLovSNE
Esp. Lic. Norberto Pons,Neuropsicólogo,+54 264 468-3127,https://wa.me/5492644683127,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/neurocienciasanjuan/?ref=bookmarks,San Juan,"General Paz 316 oeste, J5402DIM San Juan, Argentina",5,4,https://www.google.com/maps/search/?api=1&query=Esp.%20Lic.%20Norberto%20Pons&query_place_id=ChIJT-wt6YRqgZYR3afu8exbJ6M
Rina Belleza salon de uñas,Salón de manicura y pedicura,+54 264 563-8066,https://wa.me/5492645638066,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/rina_belleza?utm_medium=copy_link,San Juan,"Las marias, J5427, San Juan, Argentina",5,4,https://www.google.com/maps/search/?api=1&query=Rina%20Belleza%20salon%20de%20u%C3%B1as&query_place_id=ChIJQeIrnFw_gZYR6iEkRnmqnfA
NICO FARIAS - PRODUCTOS NUTRIRTE,Nutricionista,+54 264 455-9874,https://wa.me/5492644559874,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/Nico-Farias-Productos-Nutrirte-102486657849267/,San Juan,"Manzana E - Casa 4, J5400 San Juan, Argentina",4.5,2,https://www.google.com/maps/search/?api=1&query=NICO%20FARIAS%20-%20PRODUCTOS%20NUTRIRTE&query_place_id=ChIJ_6wQVUtrgZYRC21ufJTomr4
Centro Fisiokinesico San Juan,Kinesiólogo,+54 264 416-3753,https://wa.me/5492644163753,Usa instagram.com como web (Oportunidad Alta),https://www.instagram.com/centrofisiokinesico/,Santa Lucía,"J. M. de Pueyrredón Sur 50 sur, J5411 Santa Lucía, San Juan, Argentina",5,2,https://www.google.com/maps/search/?api=1&query=Centro%20Fisiokinesico%20San%20Juan&query_place_id=ChIJd_dmfeRrgZYRxCYOMGbfz6A
Catalina-Eventos,Organizador de eventos,+54 264 480-4586,https://wa.me/5492644804586,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/profile.php?id=100074397627625,Rivadavia,"Barrio; Aramburu, Cap. Hugo E Emi Manzana 6 casa 3, calle:, J5400 Rivadavia, San Juan, Argentina",5,2,https://www.google.com/maps/search/?api=1&query=Catalina-Eventos&query_place_id=ChIJYab2l6RBgZYRzvNw-BWPe40
RAKHI CONSULTORIOS,Psicólogo,+54 264 463-1370,https://wa.me/5492644631370,Usa instagram.com como web (Oportunidad Alta),https://instagram.com/consultoriosrakhi?igshid=NGVhN2U2NjQ0Yg==,San Juan,"Jujuy Sur 71, J5400 San Juan, Argentina",5,1,https://www.google.com/maps/search/?api=1&query=RAKHI%20CONSULTORIOS&query_place_id=ChIJD7osOE1rgZYRIQKr2_2OLI8
Ava Nails,Esteticista,+54 264 584-8156,https://wa.me/5492645848156,Usa facebook.com como web (Oportunidad Alta),https://www.facebook.com/avanailssanjuan,San Juan,"Av. Libertador Gral. San Martín 1826, J5400 San Juan, Argentina",5,1,https://www.google.com/maps/search/?api=1&query=Ava%20Nails&query_place_id=ChIJVVXl2UpAgZYRaqIZ0uKQAv8
